
> @hatef/partner-web@0.1.0 dev E:\github\hatef-new version\frontend\partner-web
> dotenv -e ../../.env -- next dev --webpack --port 3001

▲ Next.js 16.2.11 (webpack)
- Local:         http://localhost:3001
- Network:       http://192.168.100.66:3001
✓ Ready in 5.4s

 GET /login 200 in 115ms (next.js: 4ms, proxy.ts: 7ms, application-code: 105ms)
 GET /login 200 in 106ms (next.js: 3ms, proxy.ts: 6ms, application-code: 97ms)
 GET /login 200 in 71ms (next.js: 4ms, proxy.ts: 4ms, application-code: 63ms)
 GET /login 200 in 73ms (next.js: 3ms, proxy.ts: 5ms, application-code: 64ms)
 GET /login 200 in 83ms (next.js: 4ms, proxy.ts: 6ms, application-code: 74ms)
 GET /login 200 in 108ms (next.js: 5ms, proxy.ts: 6ms, application-code: 97ms)
 GET /login 200 in 93ms (next.js: 4ms, proxy.ts: 6ms, application-code: 83ms)
 GET /login 200 in 69ms (next.js: 4ms, proxy.ts: 4ms, application-code: 60ms)
 GET /login 200 in 80ms (next.js: 3ms, proxy.ts: 5ms, application-code: 72ms)
 GET /login 200 in 88ms (next.js: 4ms, proxy.ts: 7ms, application-code: 78ms)
 GET /login 500 in 152ms (next.js: 3ms, proxy.ts: 12ms, application-code: 136ms)
 GET /login 500 in 176ms (next.js: 6ms, proxy.ts: 12ms, application-code: 158ms)
 GET /login 500 in 132ms (next.js: 5ms, proxy.ts: 16ms, application-code: 112ms)
 GET /login 500 in 106ms (next.js: 6ms, proxy.ts: 11ms, application-code: 89ms)
 GET /login 500 in 84ms (next.js: 3ms, proxy.ts: 6ms, application-code: 75ms)
 GET /login 500 in 106ms (next.js: 5ms, proxy.ts: 8ms, application-code: 93ms)
 GET /login 200 in 197ms (next.js: 5ms, proxy.ts: 11ms, application-code: 181ms)
 GET /login 500 in 143ms (next.js: 5ms, proxy.ts: 10ms, application-code: 128ms)
 GET /login 500 in 166ms (next.js: 5ms, proxy.ts: 9ms, application-code: 151ms)
 GET /login 500 in 138ms (next.js: 5ms, proxy.ts: 11ms, application-code: 122ms)
 GET /login 500 in 90ms (next.js: 3ms, proxy.ts: 6ms, application-code: 81ms)
 GET /login 200 in 121ms (next.js: 4ms, proxy.ts: 7ms, application-code: 109ms)
 GET /login 200 in 90ms (next.js: 4ms, proxy.ts: 5ms, application-code: 81ms)
 GET /login 200 in 87ms (next.js: 4ms, proxy.ts: 8ms, application-code: 76ms)
 GET /login 200 in 110ms (next.js: 4ms, proxy.ts: 8ms, application-code: 99ms)
 GET /login 200 in 89ms (next.js: 3ms, proxy.ts: 8ms, application-code: 78ms)
 GET /login 200 in 67ms (next.js: 3ms, proxy.ts: 5ms, application-code: 59ms)
 GET /login 200 in 94ms (next.js: 4ms, proxy.ts: 6ms, application-code: 84ms)
 GET /login 200 in 85ms (next.js: 4ms, proxy.ts: 9ms, application-code: 72ms)
 GET /login 200 in 95ms (next.js: 4ms, proxy.ts: 7ms, application-code: 84ms)
 GET /login 200 in 100ms (next.js: 5ms, proxy.ts: 9ms, application-code: 86ms)
 GET /login 200 in 66ms (next.js: 3ms, proxy.ts: 5ms, application-code: 58ms)
 GET /login 200 in 60ms (next.js: 3ms, proxy.ts: 4ms, application-code: 53ms)
 GET /login 200 in 77ms (next.js: 4ms, proxy.ts: 6ms, application-code: 68ms)
 GET /login 200 in 83ms (next.js: 4ms, proxy.ts: 7ms, application-code: 72ms)
 GET /login 200 in 128ms (next.js: 4ms, proxy.ts: 5ms, application-code: 119ms)
 GET /login 200 in 111ms (next.js: 3ms, proxy.ts: 5ms, application-code: 103ms)
 GET /login 200 in 98ms (next.js: 3ms, proxy.ts: 9ms, application-code: 85ms)
 GET /login 200 in 69ms (next.js: 3ms, proxy.ts: 5ms, application-code: 62ms)
 GET /login 200 in 73ms (next.js: 4ms, proxy.ts: 6ms, application-code: 63ms)
 GET /login 200 in 71ms (next.js: 3ms, proxy.ts: 8ms, application-code: 59ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 5ms, application-code: 56ms)
 GET /login 200 in 63ms (next.js: 3ms, proxy.ts: 5ms, application-code: 55ms)
 GET /login 200 in 66ms (next.js: 3ms, proxy.ts: 7ms, application-code: 56ms)
 GET /login 200 in 56ms (next.js: 3ms, proxy.ts: 4ms, application-code: 49ms)
 GET /login 200 in 70ms (next.js: 4ms, proxy.ts: 6ms, application-code: 61ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 59ms (next.js: 3ms, proxy.ts: 4ms, application-code: 52ms)
 GET /login 200 in 88ms (next.js: 5ms, proxy.ts: 7ms, application-code: 77ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 4ms, application-code: 60ms)
 GET /login 200 in 77ms (next.js: 3ms, proxy.ts: 6ms, application-code: 68ms)
 GET /login 200 in 78ms (next.js: 3ms, proxy.ts: 7ms, application-code: 68ms)
 GET /login 200 in 70ms (next.js: 3ms, proxy.ts: 6ms, application-code: 60ms)
 GET /login 200 in 73ms (next.js: 3ms, proxy.ts: 6ms, application-code: 64ms)
 GET /login 200 in 97ms (next.js: 5ms, proxy.ts: 8ms, application-code: 84ms)
 GET /login 200 in 116ms (next.js: 4ms, proxy.ts: 7ms, application-code: 105ms)
 GET /login 200 in 73ms (next.js: 4ms, proxy.ts: 5ms, application-code: 64ms)
 GET /login 200 in 100ms (next.js: 4ms, proxy.ts: 6ms, application-code: 90ms)
 GET /login 200 in 66ms (next.js: 3ms, proxy.ts: 5ms, application-code: 58ms)
 GET /login 200 in 82ms (next.js: 4ms, proxy.ts: 7ms, application-code: 71ms)
 GET /login 200 in 118ms (next.js: 3ms, proxy.ts: 8ms, application-code: 108ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 5ms, application-code: 61ms)
 GET /login 200 in 58ms (next.js: 3ms, proxy.ts: 4ms, application-code: 50ms)
 GET /login 200 in 80ms (next.js: 3ms, proxy.ts: 6ms, application-code: 71ms)
 GET /login 200 in 66ms (next.js: 3ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 87ms (next.js: 4ms, proxy.ts: 8ms, application-code: 76ms)
 GET /login 200 in 76ms (next.js: 3ms, proxy.ts: 5ms, application-code: 68ms)
 GET /login 200 in 74ms (next.js: 4ms, proxy.ts: 6ms, application-code: 64ms)
 GET /login 200 in 68ms (next.js: 4ms, proxy.ts: 6ms, application-code: 58ms)
 GET /login 200 in 65ms (next.js: 3ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 77ms (next.js: 4ms, proxy.ts: 6ms, application-code: 67ms)
 GET /login 200 in 94ms (next.js: 3ms, proxy.ts: 4ms, application-code: 86ms)
 GET /login 200 in 71ms (next.js: 3ms, proxy.ts: 6ms, application-code: 62ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 79ms (next.js: 3ms, proxy.ts: 6ms, application-code: 70ms)
 GET /login 200 in 77ms (next.js: 3ms, proxy.ts: 4ms, application-code: 69ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 53ms)
 GET /login 200 in 66ms (next.js: 3ms, proxy.ts: 5ms, application-code: 58ms)
 GET /login 200 in 78ms (next.js: 4ms, proxy.ts: 5ms, application-code: 70ms)
 GET /login 200 in 69ms (next.js: 3ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 61ms (next.js: 3ms, proxy.ts: 4ms, application-code: 54ms)
 GET /login 200 in 59ms (next.js: 3ms, proxy.ts: 4ms, application-code: 52ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 89ms (next.js: 4ms, proxy.ts: 5ms, application-code: 79ms)
 GET /login 200 in 82ms (next.js: 4ms, proxy.ts: 5ms, application-code: 73ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 4ms, application-code: 56ms)
 GET /login 200 in 96ms (next.js: 4ms, proxy.ts: 8ms, application-code: 84ms)
 GET /login 200 in 73ms (next.js: 3ms, proxy.ts: 7ms, application-code: 63ms)
 GET /login 500 in 126ms (next.js: 3ms, proxy.ts: 8ms, application-code: 115ms)
 GET /login 500 in 130ms (next.js: 4ms, proxy.ts: 9ms, application-code: 117ms)
 GET /login 500 in 120ms (next.js: 4ms, proxy.ts: 8ms, application-code: 108ms)
 GET /login 500 in 143ms (next.js: 4ms, proxy.ts: 7ms, application-code: 132ms)
 GET /login 200 in 182ms (next.js: 4ms, proxy.ts: 6ms, application-code: 173ms)
 GET /login 200 in 119ms (next.js: 3ms, proxy.ts: 10ms, application-code: 106ms)
 GET /login 200 in 92ms (next.js: 4ms, proxy.ts: 8ms, application-code: 80ms)
 GET /login 200 in 89ms (next.js: 4ms, proxy.ts: 5ms, application-code: 80ms)
 GET /login 200 in 112ms (next.js: 4ms, proxy.ts: 10ms, application-code: 97ms)
 GET /login 200 in 83ms (next.js: 4ms, proxy.ts: 13ms, application-code: 66ms)
 GET /login 200 in 81ms (next.js: 3ms, proxy.ts: 6ms, application-code: 71ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 5ms, application-code: 56ms)
 GET /login 200 in 63ms (next.js: 3ms, proxy.ts: 6ms, application-code: 54ms)
 GET /login 200 in 60ms (next.js: 3ms, proxy.ts: 6ms, application-code: 51ms)
 GET /login 200 in 82ms (next.js: 3ms, proxy.ts: 6ms, application-code: 73ms)
 GET /login 200 in 78ms (next.js: 4ms, proxy.ts: 6ms, application-code: 68ms)
 GET /login 200 in 61ms (next.js: 3ms, proxy.ts: 6ms, application-code: 52ms)
 GET /login 200 in 75ms (next.js: 3ms, proxy.ts: 4ms, application-code: 68ms)
 GET /login 200 in 75ms (next.js: 4ms, proxy.ts: 7ms, application-code: 64ms)
 GET /login 200 in 59ms (next.js: 3ms, proxy.ts: 4ms, application-code: 52ms)
 GET /login 200 in 75ms (next.js: 4ms, proxy.ts: 6ms, application-code: 66ms)
 GET /login 200 in 81ms (next.js: 3ms, proxy.ts: 5ms, application-code: 73ms)
 GET /login 200 in 75ms (next.js: 3ms, proxy.ts: 6ms, application-code: 67ms)
 GET /login 200 in 131ms (next.js: 4ms, proxy.ts: 6ms, application-code: 121ms)
 GET /login 200 in 66ms (next.js: 4ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 61ms (next.js: 4ms, proxy.ts: 5ms, application-code: 53ms)
 GET /login 200 in 65ms (next.js: 3ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 65ms (next.js: 3ms, proxy.ts: 6ms, application-code: 56ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 4ms, application-code: 57ms)
